M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,TheoEpstein (Cubs),1.新聞網址 https://www.cna.com.tw/news/aipl/202008020133.aspx 2.新聞來源 中央社 3.新聞內容 侯友宜籲入境者全面普篩 預防第二波疫情來襲 新北市長侯友宜今天在臉書發文，針對2019冠狀病毒疾病（COVID19，武漢肺炎）疫情 ， 呼籲中央在檢驗量能可以負擔情況下，進行入境者全面普篩及居家檢疫，預防第二波 疫情來襲。 侯友宜在臉書（Facebook）發文表示，將疫情阻絕於境外，是防疫是否成功的重要關鍵 ，因此 他要再度籲請中央在檢驗量能可以負擔情況下，儘速針對入境者全面普篩，並且 進行居家檢疫。 侯友宜指出，一名比利時籍個案在5月份入境後，經過80幾天才被檢測確診，這是個警 訊，威脅著要打破台灣人握在手中的美好，因此在第二波疫情可能來襲的情況下，請求 中央儘速執行入境者全面普篩 。 新北市衛生局表示，昨天新增確診的比利時籍工程師，其疫調資料顯示3月份即有味覺 喪失症狀，5月份入境經14天居家檢疫後，在全台北中南趴趴走， 如果當時入境時有普 篩，就有可能釐清感染源是境內或境外，也有可能在其入境就加以防堵 。 侯友宜說，他在3月份時就曾呼籲中央對入境者實施全面普篩及居家檢疫，自6月7日大 解封後，國人報復性出遊及近百日無本土案例下， 國人警戒心已鬆動，幾乎沒有維持社 交距離。 侯友宜提醒市民，一定要做好各項防疫措施，遵守中央流行疫情指揮中心指示，在密閉 場所配戴口罩， 我們絕對不能鬆懈，要有憂患意識，避免疫情第二波攻擊 。 4.附註、心得、想法 2020年防疫，全台灣最好的地方首長就是侯友宜。 這次我無條件絕對支持侯友宜說的對入境者全面普篩，並且進行居家檢疫。 https://i.imgur.com/En4Bk5P.png 不要學台大公衛某些人的以入境普篩代替居家檢疫，而是兩個都要。 (冰島就是用入境普篩代替檢疫，導致疫情大爆發的，千萬不能學) 這篇不反串，沒有埋陷阱，我講了很多次的入境全面普篩也保留14天檢疫， 侯友宜今天講的，就是我希望的。 當然我 最希望 的是： 入境7天集中檢疫再篩檢(因集中檢疫比較方便)陰性者再7天居家檢疫 但可能集中檢疫真的有困難，一天800人入境，7天次會有近六千人。 那至少退一步，侯友宜說的這個，中央可以考慮執行了。 侯友宜做事認真，防疫時超前部署，全台灣最好的地方首長，新北市民，你們真幸福 看完F1，今天第五篇，發文收工 睡了50圈，最後整個醒了。 政黑板文章大概會留半年，我發文也不會刪，到時候再把那些綠粉抓出來當笑料XD 誰說要用快篩了？PCR就三~四小時，你以為很久？ 跳針仔就那幾隻，是不是群組來的還接力啊。 那幾個八成群組來的，這篇新聞根本沒人提快篩， 結果有個故意扭曲說是快篩，另一個馬上接力講PCR，這招老套了。 不過在政黑講疫情真的沒梗，一堆菸粉綠共1450，柯韓粉最近又觀望看風向， 還是發篇幹柯文哲比較多推呢。 政黑噓文仔又來了，除了噓文就只會檢舉跟我愛師父，可憐啊。 扭曲新聞中沒有的資訊還在那邊亂扯，跳針仔1450不累嗎？ 三心兩意變換力場，這種人就是騎牆派兩邊倒，我們台灣不需要這種人 沒料又沒梗，可憐綠共菸粉只能這樣跳針了。 SINREI都比你有料。 可以召喚基隆人TED吧 不過這篇那兩個等級都差多了，沒料又沒梗，連跳針都跳不好。 對不起我錯了 我正想說XDDD 這個 SINREI聖杯一定比冬木聖杯還要黑心 啊。 https://i.imgur.com/hOJmQ.jpg (這圖好舊了) https://i.imgur.com/DlOUzqe.jpg 之前一堆白痴是喊全國普篩吧，2300萬人一天篩5萬要篩快兩年，神經病。 入境篩檢完全是兩回事。 還好啦，都是事實。 謝,Sun Aug  2 23:09:30 2020,主文,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,highjack,超前部署,08/02 23:10,推,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,DavidFoster,銀石劇場,08/02 23:11,推,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,SuperBMW,真˙超前部署 ~就說這種本省底的K黨黨員還比較像正常人,08/02 23:11,推,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,elainakuo,當打電動玩瘟疫公司按個鈕 我是支持 考慮現實面 不支,08/02 23:12,→,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,elainakuo,持 加大工作量,08/02 23:12,→,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,silentence,侯友宜自己下來跑PCR盤就知道啦  棒棒,08/02 23:12,→,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,SuperBMW,趙少康那反而像平行世界，大家在關心國會只有他臭罵阿輝,08/02 23:12,→,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,SuperBMW,非主流也只生的出洪秀柱、韓狗魚這種咖  可憐哪Corona!,08/02 23:13,→,10,9,24
M.1596380972.A.FA8,[新聞] 侯友宜籲入境者全面普篩 預防第二波疫情,KDGC,避免偽陽 浪費 崩潰 有症狀再驗 這是才是超前部屬 侯懂屁懂,08/02 23:15,噓,10,9,24
